iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
57,0.15703448916444063,2022-09-06 07:42:51.742039,2022-09-06 07:45:07.757980,0 days 00:02:16.015941,0.6757605300874406,0.6147071521465948,0.24840409860432594,0.05096322146555461,10.0,5.0,500.0,0.9015366103543743,0.8437471606641064,0.7354548283203094,COMPLETE
73,0.1571536448797874,2022-09-06 08:19:25.582170,2022-09-06 08:21:41.261142,0 days 00:02:15.678972,0.7212098107314523,0.7489225272709155,0.22181800512562327,0.05158794593544529,10.0,4.0,470.0,0.8819056168135041,0.9997029035175748,0.7216595189586545,COMPLETE
74,0.15721853908025177,2022-09-06 08:21:46.012214,2022-09-06 08:24:06.366327,0 days 00:02:20.354113,0.7141554973589649,0.6838629105029361,0.3066499012485027,0.05090770203394816,10.0,5.0,470.0,0.9019710633169552,0.5429037713885657,0.7333343672616637,COMPLETE
97,0.15735440867388953,2022-09-06 09:16:17.668452,2022-09-06 09:18:38.125767,0 days 00:02:20.457315,0.8071684822901947,0.6575290769157082,0.18275913921059134,0.04642344810565102,10.0,3.0,480.0,0.3731495814366656,0.7106590727110602,0.6635916096559675,COMPLETE
75,0.15736808645266628,2022-09-06 08:24:10.260783,2022-09-06 08:26:27.986122,0 days 00:02:17.725339,0.7070987369699396,0.6804895201946588,0.30249252491936574,0.051604210511596624,10.0,5.0,460.0,0.8334481480142981,0.515579378217632,0.7195978492988088,COMPLETE
36,0.15740090398388124,2022-09-06 06:53:18.051659,2022-09-06 06:55:37.610785,0 days 00:02:19.559126,0.8669940194127034,0.8183833962850158,0.47878949122449554,0.05591917762109779,10.0,9.0,470.0,0.8289474446003133,0.9240996942421122,0.5969604551200389,COMPLETE
53,0.15740537305209443,2022-09-06 07:33:00.776731,2022-09-06 07:35:24.931911,0 days 00:02:24.155180,0.8412344680773485,0.6302574860086622,0.200034861780045,0.033822947397058566,10.0,2.0,500.0,0.7566514807297846,0.06418488168051463,0.6286885052303844,COMPLETE
101,0.1574090959388602,2022-09-06 09:25:59.505725,2022-09-06 09:28:22.410953,0 days 00:02:22.905228,0.8974466886661728,0.6844179345071465,0.09954317040411535,0.03734666788944573,10.0,4.0,500.0,0.941142433017929,0.7968412722995198,0.7793695608811371,COMPLETE
62,0.15741535517872124,2022-09-06 07:54:01.969561,2022-09-06 07:56:16.735204,0 days 00:02:14.765643,0.700416755765138,0.6994436325812633,0.19876226037553404,0.06110712787375201,10.0,4.0,430.0,0.9487116510626286,0.8459319418131961,0.7779423591035295,COMPLETE
67,0.15741928108512926,2022-09-06 08:05:38.646731,2022-09-06 08:07:48.637451,0 days 00:02:09.990720,0.6536467055120825,0.7071430124351572,0.26036838227870407,0.060322334542411406,9.0,4.0,470.0,0.9561963770629002,0.9965989866218209,0.6978892496255508,COMPLETE
