word,count
food,693514
place,443719
would,393654
time,391437
like,363734
good,352218
order,347422
service,344344
one,330946
get,307277
back,288524
ordered,270121
go,250579
restaurant,244332
even,220882
minute,212392
table,209979
could,204905
came,198144
really,194797
never,189947
said,172635
asked,162719
chicken,160326
drink,151384
come,150208
went,148202
people,144887
customer,144360
pizza,142846
bad,142364
better,139647
first,136282
great,132129
also,131939
told,131523
experience,130902
know,129106
two,128460
server,127603
make,126875
much,126320
menu,125581
going,125188
say,122517
way,120953
wait,120663
took,119430
take,115318
meal,115107
another,111564
give,109379
want,108958
well,108882
sauce,106614
hour,105778
staff,103268
manager,101865
ever,101185
review,100521
still,99919
friend,99289
star,99256
waitress,98681
price,98386
made,97373
taste,97036
location,94993
cheese,93804
think,93506
try,93422
bar,92269
dish,92239
pretty,91246
nice,89961
salad,89571
day,88104
night,87919
burger,87742
last,87470
around,86946
left,85346
wanted,84409
something,83522
nothing,83468
long,82415
right,81737
little,81505
ok,80285
cold,76561
since,76242
flavor,76125
tasted,76078
see,75246
sure,74910
small,74064
dinner,73028
worst,72387
sandwich,71524
disappointed,70950
