word,count
good,800888
food,650661
place,612755
great,514962
like,387228
would,374100
time,366488
one,331821
get,328211
really,327803
service,313238
also,269776
go,265937
back,254308
nice,235933
restaurant,235904
delicious,231198
little,223125
chicken,222156
menu,207213
order,203709
ordered,203257
well,197918
try,189739
definitely,189265
pretty,188867
love,182681
come,176647
sauce,168650
always,168167
pizza,166605
friendly,156536
best,155373
dish,155015
table,154715
fresh,153033
make,149114
bit,149101
came,148891
drink,146343
price,146336
could,143098
much,139688
cheese,139251
lunch,138281
even,132813
salad,131669
friend,130538
flavor,129933
first,129817
meal,128390
wait,127776
side,127016
bar,126167
burger,126079
staff,125889
lot,124866
star,123626
people,121188
tasty,120326
night,118330
went,117652
made,116523
day,114617
think,113907
sandwich,113710
small,112997
dinner,111235
right,110735
though,110676
two,109192
area,108397
still,106575
better,106130
roll,102850
sweet,102201
fried,101430
want,101418
beer,99906
amazing,99316
know,98871
way,98671
taste,98184
hot,97968
around,97956
experience,97930
favorite,96928
take,96482
everything,95697
say,94316
rice,94103
coffee,94049
sure,92773
option,92398
tried,92192
spot,91784
location,91727
meat,91208
sushi,91001
going,90397
