iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
97,0.1575366608011559,2022-05-14 16:38:49.977389,2022-05-14 16:40:14.719376,0 days 00:01:24.741987,0.5182903917823124,0.9065704351043753,0.005282022544929408,0.06232310698723257,10,8,450,1.0834597897797484e-08,0.0009317953357925137,0.8802895243006885,COMPLETE
91,0.15754376956213215,2022-05-14 16:30:21.823233,2022-05-14 16:31:45.917522,0 days 00:01:24.094289,0.5546577815705803,0.9724650758563547,6.70260178502921e-05,0.061923154072323065,10,9,450,3.820386002547855e-08,0.0019921900270947045,0.8345111177134406,COMPLETE
96,0.15766514367842846,2022-05-14 16:37:25.319085,2022-05-14 16:38:49.977259,0 days 00:01:24.658174,0.5103369384443748,0.9831758236655174,0.0034473958487241814,0.0642898616770584,10,8,450,1.1861833295147749e-08,0.00040072833996249803,0.8857498947254026,COMPLETE
98,0.15780582614210506,2022-05-14 16:40:14.719504,2022-05-14 16:41:36.088206,0 days 00:01:21.368702,0.5204725744361419,0.8633605766078174,0.0034845022831526016,0.06593697483243258,9,8,450,1.014216492879674e-08,0.000419876604311024,0.882233840496133,COMPLETE
93,0.1578224892485086,2022-05-14 16:33:12.394439,2022-05-14 16:34:37.386429,0 days 00:01:24.991990,0.5616619042239344,0.9786280468541197,0.0028128661108292713,0.0628793992134875,10,8,460,3.999652199893545e-08,0.0017938900392693057,0.8830590603852996,COMPLETE
94,0.15790439733284203,2022-05-14 16:34:37.386557,2022-05-14 16:36:02.274801,0 days 00:01:24.888244,0.5619611944642174,0.975559319017881,0.003026912515158318,0.06179398630412414,10,8,460,3.59331008537085e-08,0.0020245075214429618,0.8755219011465722,COMPLETE
58,0.15793604900010424,2022-05-14 15:44:42.008558,2022-05-14 15:46:02.956997,0 days 00:01:20.948439,0.3591218945856311,0.9685459006993306,0.0014943861847124948,0.07339360896320113,10,10,320,1.1914957317208683e-05,0.1260194829480484,0.8657272294915137,COMPLETE
85,0.15803273693811282,2022-05-14 16:21:41.662097,2022-05-14 16:23:05.089311,0 days 00:01:23.427214,0.5187883340649447,0.8330873174546372,0.0031871233706568646,0.048677972219787875,9,9,470,1.2433403274251288e-07,0.004009929238137248,0.8474204719169091,COMPLETE
81,0.15811472744164315,2022-05-14 16:16:04.920210,2022-05-14 16:17:27.311601,0 days 00:01:22.391391,0.4538217383286249,0.9747582591036175,0.000998038321855689,0.054260499864550456,10,8,380,3.4266643923219134e-08,0.0020138434922667447,0.8759453074217877,COMPLETE
92,0.15819552378589746,2022-05-14 16:31:45.917649,2022-05-14 16:33:12.394307,0 days 00:01:26.476658,0.5623881996404282,0.9665797863393598,0.0025580516297310724,0.03860233030100019,10,8,460,4.005303943387531e-08,0.0017999933292604338,0.8321619926896373,COMPLETE
70,0.15821404019573893,2022-05-14 16:01:02.193934,2022-05-14 16:02:23.736102,0 days 00:01:21.542168,0.23013637302972176,0.967858520314827,0.0024811107205075485,0.05632516132699864,10,10,390,6.184790477453943e-08,0.001601697212053802,0.7461273891309613,COMPLETE
82,0.15829412272487983,2022-05-14 16:17:27.311746,2022-05-14 16:18:50.056018,0 days 00:01:22.744272,0.44405445627626916,0.9754540090952158,0.0009332854223838494,0.05444054896434511,10,8,350,1.2715382367239815e-07,0.0019011007342229214,0.9168183248542289,COMPLETE
63,0.15833236166373207,2022-05-14 15:51:27.180671,2022-05-14 15:52:46.883424,0 days 00:01:19.702753,0.43179984145136674,0.9986566974779011,0.00010812041302100818,0.08173384328969734,10,10,320,4.843978103505662e-06,0.003224152369752695,0.8586080760705751,COMPLETE
71,0.15837599583154058,2022-05-14 16:02:23.736219,2022-05-14 16:03:45.270977,0 days 00:01:21.534758,0.23056187391234045,0.9649360391681125,0.0022648372580362655,0.0540471416535728,10,10,380,1.9511530641707577e-08,0.0020065669593083055,0.8427985872414394,COMPLETE
72,0.15840928087281334,2022-05-14 16:03:45.271106,2022-05-14 16:05:07.618766,0 days 00:01:22.347660,0.18109237008363013,0.9252453473409394,0.00010546347295593133,0.05326570927157775,10,10,400,2.5589987753129054e-08,0.0007015485044868259,0.8276858723387541,COMPLETE
86,0.15841794901597367,2022-05-14 16:23:05.089434,2022-05-14 16:24:32.528679,0 days 00:01:27.439245,0.30133429820905144,0.9462195008772203,0.014536244638915067,0.03312327754306768,10,9,490,3.852629822394703e-07,0.007976316331660382,0.7645426616407599,COMPLETE
52,0.15845307052262206,2022-05-14 15:36:36.655549,2022-05-14 15:37:58.833519,0 days 00:01:22.177970,0.2771383842865257,0.9984925078930136,0.00017460996709866915,0.07204153697098992,10,9,290,6.797215182775915e-05,0.21915400181349687,0.7894867393137615,COMPLETE
64,0.15848002463717994,2022-05-14 15:52:46.883541,2022-05-14 15:54:04.741218,0 days 00:01:17.857677,0.41790060230834924,0.7779645291230012,0.0008597004283092036,0.08743339630640314,9,10,320,4.303622857644296e-06,0.0024519366756395617,0.9481046802499421,COMPLETE
61,0.1585075361616698,2022-05-14 15:48:44.066545,2022-05-14 15:50:03.932868,0 days 00:01:19.866323,0.4141446421370865,0.9762900872667503,0.0013101710725892022,0.09200126846672704,10,10,320,9.709000010599226e-06,0.017411587976010272,0.8907252862953381,COMPLETE
49,0.15859767196418897,2022-05-14 15:32:25.482688,2022-05-14 15:33:49.756850,0 days 00:01:24.274162,0.3769273377776904,0.7794152539986943,0.00020673874575869545,0.07511964619115745,10,9,290,6.564843990101676e-05,0.0022128188303643013,0.8696060278722748,COMPLETE
59,0.158620016838016,2022-05-14 15:46:02.957113,2022-05-14 15:47:23.143061,0 days 00:01:20.185948,0.3993487360440549,0.9965017458048102,0.0021168830705604823,0.09988212387775643,10,10,320,9.726130304572353e-06,0.15803670090317062,0.8664886523892767,COMPLETE
48,0.15866637413310095,2022-05-14 15:30:58.443775,2022-05-14 15:32:25.482576,0 days 00:01:27.038801,0.7305126406917054,0.7773516107847449,0.0002745551841778499,0.06487088743665496,10,8,290,7.245665051029461e-05,0.0034101693589233236,0.7839783766258371,COMPLETE
54,0.15868375736181983,2022-05-14 15:39:20.779024,2022-05-14 15:40:41.176727,0 days 00:01:20.397703,0.2970628691080166,0.9951656193842736,0.00017187387240547144,0.07318143416555233,10,9,290,1.279706399344005e-05,0.17256496700115892,0.779221879528247,COMPLETE
66,0.15869064561454696,2022-05-14 15:55:21.986805,2022-05-14 15:56:40.468361,0 days 00:01:18.481556,0.3764199751860738,0.8687093264712711,0.021401192644860262,0.0832987470626693,9,10,340,1.371578321581845e-06,0.00596471367928096,0.8531065872843501,COMPLETE
60,0.15872203323015308,2022-05-14 15:47:23.143179,2022-05-14 15:48:44.066411,0 days 00:01:20.923232,0.39390008168419066,0.9602322502224963,0.001334741963288088,0.09815364485331401,10,10,320,1.386493680704686e-05,0.020089597994824432,0.8698275986691832,COMPLETE
95,0.15878093531420465,2022-05-14 16:36:02.274941,2022-05-14 16:37:25.318948,0 days 00:01:23.044007,0.5570924898003026,0.9715876279865154,0.008335582402452591,0.04224975805064361,9,8,460,4.231325951005588e-08,0.003382147521266813,0.9156909574422686,COMPLETE
53,0.15879414257808988,2022-05-14 15:37:58.833625,2022-05-14 15:39:20.778915,0 days 00:01:21.945290,0.2800827064542254,0.9944937536863209,0.0003806950869112357,0.07244377691674636,10,9,290,5.702835991044727e-05,0.13831230769717223,0.8092636424305774,COMPLETE
51,0.15879523955203298,2022-05-14 15:35:14.243645,2022-05-14 15:36:36.655429,0 days 00:01:22.411784,0.35286596652347035,0.8879403527390232,0.0002813570418123347,0.0671285189675159,10,9,280,7.252831867815581e-05,0.06059710149917844,0.795912936387108,COMPLETE
