iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
94,0.15398176102097974,2022-04-14 15:20:14.919072,2022-04-14 15:23:26.132469,0 days 00:03:11.213397,0.8593051651433867,0.6771132033127644,1.6212712699815463e-08,0.041503794581896236,10,5,500,0.6166291513436883,2.1440007997355195e-06,0.7091371242218932,COMPLETE
80,0.15400472059605283,2022-04-14 14:36:00.576219,2022-04-14 14:39:09.247437,0 days 00:03:08.671218,0.8663152534888567,0.659925830232967,1.9271713362530383e-08,0.04662250276829462,10,6,490,0.0074877043193798095,1.9669935546519526e-07,0.7218968949749168,COMPLETE
82,0.154032748797551,2022-04-14 14:42:19.146308,2022-04-14 14:45:29.632504,0 days 00:03:10.486196,0.9118385275547652,0.6519163255639941,2.132833108195273e-08,0.04355603350284287,10,5,470,0.007982940779032305,7.475792298065162e-07,0.719229239903383,COMPLETE
89,0.15403542862091743,2022-04-14 15:04:22.941991,2022-04-14 15:07:31.249733,0 days 00:03:08.307742,0.9262008796313194,0.695789668400239,2.7579639418472324e-07,0.05799642926459436,10,6,480,0.4265462596728727,8.77301053696074e-07,0.7504989949889485,COMPLETE
86,0.1540423218073194,2022-04-14 14:54:56.024230,2022-04-14 14:58:04.053388,0 days 00:03:08.029158,0.7840240638728331,0.767892342363306,1.913081535648103e-08,0.05616738497824772,10,5,490,0.26362926803304654,1.9871080824301696e-07,0.7042060423469978,COMPLETE
92,0.15404708688985594,2022-04-14 15:13:56.525755,2022-04-14 15:17:07.761505,0 days 00:03:11.235750,0.7817401540321697,0.6896038523263563,1.6943927440160965e-08,0.04019114096998731,10,5,490,0.5136903626052371,2.253141358973637e-07,0.7068592552217735,COMPLETE
81,0.15404942606101546,2022-04-14 14:39:09.247576,2022-04-14 14:42:19.146156,0 days 00:03:09.898580,0.9129157459074353,0.5423770614353673,1.9522508278201e-08,0.04704326002198753,10,6,470,0.0074603331256131175,1.856121779591507e-07,0.7248285273808508,COMPLETE
97,0.15405831223141062,2022-04-14 15:29:50.732217,2022-04-14 15:33:07.145859,0 days 00:03:16.413642,0.7853922963429314,0.6435689918955781,7.15155622484239e-07,0.04113874782279618,10,4,500,0.760718003427079,3.76291064202629e-07,0.7145539305202477,COMPLETE
95,0.15408477596225054,2022-04-14 15:23:26.132622,2022-04-14 15:26:38.161812,0 days 00:03:12.029190,0.8180514651644185,0.6352728840804646,1.0742939442765653e-07,0.03974661633562718,10,5,500,0.34355877456131534,1.8117994886133823e-06,0.7152185420434531,COMPLETE
60,0.15408713240766966,2022-04-14 13:33:57.511871,2022-04-14 13:37:04.056877,0 days 00:03:06.545006,0.9501471732625197,0.49994746597931994,5.4538367901665516e-08,0.07284718508593702,10,9,460,0.0007393861119644112,2.5292213026563874e-08,0.8609045323451083,COMPLETE
