iteration,logloss,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
78,0.11228565338006048,2022-04-20 23:14:55.974502,2022-04-20 23:16:54.379802,0 days 00:01:58.405300,0.9337293548522074,0.6012556788176429,0.0005636001180105738,0.04098861876027549,10,2,470,0.0022779547211877163,0.00020638653154693833,0.7733129351737423,COMPLETE
66,0.11230144442049869,2022-04-20 22:52:41.311888,2022-04-20 22:54:32.310273,0 days 00:01:50.998385,0.6959786691690848,0.6056945371855016,0.0004031861454907523,0.050546519569622105,9,2,410,0.17015491913108788,5.937026615663041e-08,0.7238672164244699,COMPLETE
96,0.1123571731147574,2022-04-20 23:51:44.591851,2022-04-20 23:53:45.057893,0 days 00:02:00.466042,0.955009094788364,0.4831169194236802,0.0005934189579492047,0.04502529636492017,10,3,480,3.390993062942369e-05,5.98079673643378e-05,0.8876818254451786,COMPLETE
84,0.11235806094842563,2022-04-20 23:27:13.800035,2022-04-20 23:29:15.306338,0 days 00:02:01.506303,0.9485925386895109,0.604806010935926,0.0005854820868559854,0.03889626029198595,10,1,480,0.0023860545984580243,0.0003579696782124853,0.8328709864173935,COMPLETE
77,0.112360967537443,2022-04-20 23:12:56.417003,2022-04-20 23:14:55.974336,0 days 00:01:59.557333,0.9330896943349081,0.5939001452408396,0.0011767190645515322,0.03659076242718599,10,2,480,0.007872797872485559,0.00013410519219242618,0.755251077923957,COMPLETE
91,0.1123717136749003,2022-04-20 23:41:45.761703,2022-04-20 23:43:45.344043,0 days 00:01:59.582340,0.8846946401588758,0.6354466061599147,0.0012726412126199708,0.04446893792985314,10,2,450,4.600589123826833e-05,0.00027735184990368243,0.7871065961168268,COMPLETE
42,0.11240921538984969,2022-04-20 22:09:27.155510,2022-04-20 22:11:18.333187,0 days 00:01:51.177677,0.9481114300455928,0.5720023478311911,0.0007016410454459054,0.06709747216231415,9,2,410,0.42733247522875856,6.340081830668702e-08,0.6750484880509633,COMPLETE
79,0.11241445562024327,2022-04-20 23:16:54.379972,2022-04-20 23:18:56.723047,0 days 00:02:02.343075,0.9655231520854688,0.5873572881654305,0.0006097535457813716,0.03510120640043271,10,2,480,0.0013754413097223257,4.542217194301325e-05,0.8498057770405156,COMPLETE
76,0.1124697500649773,2022-04-20 23:11:04.160673,2022-04-20 23:12:56.416814,0 days 00:01:52.256141,0.882972009826945,0.6013022347325925,0.0004368615270821744,0.03944441214576225,9,2,460,0.008312108420177976,7.120486234422748e-08,0.7422918166761798,COMPLETE
92,0.11249933081756724,2022-04-20 23:43:45.344213,2022-04-20 23:45:47.011878,0 days 00:02:01.667665,0.9464156895531568,0.524243914685788,0.0012517824704246997,0.04854141497273172,10,3,450,3.8794381349099415e-05,0.00033381910666501033,0.7834318958653638,COMPLETE
93,0.11251736916089684,2022-04-20 23:45:47.012077,2022-04-20 23:47:45.492062,0 days 00:01:58.479985,0.9957938593212188,0.5221863023552599,0.0011732946318947057,0.04675179442507103,10,2,450,4.121834948015311e-05,0.00035951168428434297,0.8688982750411516,COMPLETE
81,0.11252153743991054,2022-04-20 23:21:05.192579,2022-04-20 23:23:06.127221,0 days 00:02:00.934642,0.9345391192552618,0.554855902323369,0.00038043761117657443,0.037131283448691016,10,1,470,0.0006802449262674802,0.00019549449619344657,0.8429274081620107,COMPLETE
44,0.11252336880805829,2022-04-20 22:13:07.195392,2022-04-20 22:14:54.448274,0 days 00:01:47.252882,0.7823194272111426,0.6247855596119044,0.004554950082717573,0.06803634214311192,8,3,400,0.12473503538208952,1.982537841249402e-08,0.7827665372226986,COMPLETE
95,0.11253950709389297,2022-04-20 23:49:47.251816,2022-04-20 23:51:44.591709,0 days 00:01:57.339893,0.8840228618058101,0.5881823938672085,0.0012858146306485403,0.049128648898718,10,2,450,4.09385984682601e-05,0.0007705666318494514,0.7127429812624336,COMPLETE
41,0.11257243744962774,2022-04-20 22:07:37.810673,2022-04-20 22:09:27.155350,0 days 00:01:49.344677,0.8313435869145154,0.6415656857562635,0.001618510463066977,0.06110197133777361,8,2,410,0.9586513006369165,9.957170559933587e-08,0.5085061022200498,COMPLETE
99,0.11267370909495684,2022-04-20 23:58:02.952677,2022-04-20 23:59:56.718083,0 days 00:01:53.765406,0.9435655864879703,0.5482412980780943,0.002981210670033402,0.0318779751244981,9,4,500,3.673178437651341e-06,0.0022766326543657905,0.7716268543531277,COMPLETE
85,0.11272005791420418,2022-04-20 23:29:15.306504,2022-04-20 23:31:19.500343,0 days 00:02:04.193839,0.95813998550855,0.5278324592030086,0.0005401199228448763,0.03464826182143419,10,1,490,0.002854428102026357,0.0013490898870690817,0.9602548640868532,COMPLETE
29,0.11273308754140184,2022-04-20 21:46:01.350728,2022-04-20 21:47:49.245306,0 days 00:01:47.894578,0.7209868693116914,0.6585062034084685,0.0015976828863213655,0.05633467275433648,9,1,370,0.8011361962417316,4.866054053827483e-07,0.5588217156426386,COMPLETE
86,0.1127428353269068,2022-04-20 23:31:19.500486,2022-04-20 23:33:23.578753,0 days 00:02:04.078267,0.9373975744801952,0.6136992046541034,0.00012915027577883236,0.02646283389405504,10,1,470,0.0004743153401149976,0.0005746345806925681,0.8917455628781046,COMPLETE
94,0.11275815034571689,2022-04-20 23:47:45.492213,2022-04-20 23:49:47.251653,0 days 00:02:01.759440,0.9995526927393382,0.5217662850973116,0.0011828928982832408,0.02947096385197362,10,2,450,1.677165161045517e-05,0.0003348342931797833,0.8071885694848345,COMPLETE
72,0.11276507924444941,2022-04-20 23:03:58.841601,2022-04-20 23:05:46.291833,0 days 00:01:47.450232,0.8528919631916352,0.6758890665160817,0.0009125303505371622,0.060648310370241536,8,2,390,0.024243265424738668,4.65275876370343e-08,0.6287167298394062,COMPLETE
53,0.11288428767118026,2022-04-20 22:29:21.771721,2022-04-20 22:31:07.035527,0 days 00:01:45.263806,0.8543065653063634,0.7829682908630555,0.007775959471816193,0.070152947091454,8,3,430,0.010262348184991985,1.2684482091178315e-08,0.5559466119264876,COMPLETE
35,0.11292469935823769,2022-04-20 21:56:50.159211,2022-04-20 21:58:35.020608,0 days 00:01:44.861397,0.895778829073392,0.6708532653996369,0.00017635225076784644,0.061309626386298416,8,0,360,0.577356946276304,1.3758317847128172e-08,0.6375332068349049,COMPLETE
34,0.11292496159745231,2022-04-20 21:55:05.862897,2022-04-20 21:56:50.159023,0 days 00:01:44.296126,0.8683733626968054,0.6529555193952618,0.0019913288110287837,0.054198422700624395,8,2,370,0.9052027411093051,4.1745617626808685e-08,0.6587066463821591,COMPLETE
87,0.11292706210471111,2022-04-20 23:33:23.578959,2022-04-20 23:35:24.865239,0 days 00:02:01.286280,0.8933382576020659,0.4786829877794962,6.205516057113633e-05,0.04121542243823147,10,1,450,0.001606500924131027,0.0002652535088630783,0.7875820526464522,COMPLETE
62,0.11296746952755142,2022-04-20 22:45:34.923248,2022-04-20 22:47:24.623274,0 days 00:01:49.700026,0.8573121593038756,0.9874279866064593,0.00468019364947767,0.06062851373743866,9,1,420,0.2473587996682435,2.7829393995251408e-08,0.6553626160092775,COMPLETE
89,0.11298245033304988,2022-04-20 23:37:33.015788,2022-04-20 23:39:36.209538,0 days 00:02:03.193750,0.9785672251048049,0.4127900988908778,0.0006502352895882037,0.03582391839498288,10,2,480,0.0031421178605952602,1.1425765303096443e-05,0.7418580281654571,COMPLETE
54,0.11299409807471458,2022-04-20 22:31:07.035656,2022-04-20 22:32:54.374054,0 days 00:01:47.338398,0.6782663470849131,0.7997497342063741,0.007121679558752173,0.07866577425884695,9,4,430,0.015868106657887376,1.0719338742076647e-08,0.5573056517466317,COMPLETE
71,0.11303841381114597,2022-04-20 23:02:12.867673,2022-04-20 23:03:58.841469,0 days 00:01:45.973796,0.9058807439278724,0.6345929219428882,0.0018974724261010174,0.051438545901538464,8,2,370,0.4908794263408904,3.724840641950297e-08,0.6722408456911549,COMPLETE
48,0.11312198953484245,2022-04-20 22:20:33.321705,2022-04-20 22:22:17.919582,0 days 00:01:44.597877,0.9998196308005117,0.5646531868126348,0.003934960446764186,0.073098203890758,7,3,410,0.035333236130263915,2.307933714113983e-08,0.7931839788427772,COMPLETE
55,0.11313268487997669,2022-04-20 22:32:54.374175,2022-04-20 22:34:38.499970,0 days 00:01:44.125795,0.7722106426887614,0.6992457725863135,0.028589058313236805,0.06836383980581695,7,3,500,0.05599454348081885,1.9573280838150384e-07,0.4737564881986499,COMPLETE
58,0.11313972260274131,2022-04-20 22:38:16.071153,2022-04-20 22:40:01.327487,0 days 00:01:45.256334,0.9151170802217068,0.5588247245320653,0.007195136468789014,0.04693157251018179,8,3,440,0.001256372544881299,9.613662962243988e-08,0.3512616424508418,COMPLETE
64,0.11316857082830739,2022-04-20 22:49:10.201183,2022-04-20 22:50:52.806839,0 days 00:01:42.605656,0.8003907279579147,0.7496067213255865,0.00013810960260156964,0.07736745473873403,7,3,340,0.09645790076934024,7.664693415553796e-05,0.9266764012751834,COMPLETE
31,0.11324309528132401,2022-04-20 21:49:50.469319,2022-04-20 21:51:35.632328,0 days 00:01:45.163009,0.725515161656229,0.5000157504835722,0.001497627255049794,0.060869151891728215,9,2,270,0.9731527274350431,4.597735682194692e-07,0.5236410422034059,COMPLETE
69,0.11326346654553447,2022-04-20 22:58:20.265742,2022-04-20 23:00:21.705155,0 days 00:02:01.439413,0.5021046132664572,0.7318107036898499,0.004297332606759821,0.03993176072130282,10,0,440,0.27975612025884805,8.787956807157854e-08,0.5044861973278474,COMPLETE
63,0.11329312861983928,2022-04-20 22:47:24.623418,2022-04-20 22:49:10.201049,0 days 00:01:45.577631,0.906131420459457,0.4683576293556765,0.0008442956046867093,0.04472804292131494,8,2,400,0.5762757051724867,1.6269701443586092e-08,0.6103375123032352,COMPLETE
33,0.11329951079524714,2022-04-20 21:53:21.802017,2022-04-20 21:55:05.862788,0 days 00:01:44.060771,0.8384188265517853,0.639872156413571,0.0015793047249647596,0.05710795637138462,8,2,310,0.9141080200502307,1.181580831024207e-07,0.5220183417225498,COMPLETE
32,0.11336486228550754,2022-04-20 21:51:35.632458,2022-04-20 21:53:21.801876,0 days 00:01:46.169418,0.8068833455038504,0.5064002144798452,0.0026930183896647633,0.05386339098032825,9,2,310,0.25053764532203776,4.4245328097067496e-07,0.5181220062621703,COMPLETE
61,0.11343284859394973,2022-04-20 22:43:50.734024,2022-04-20 22:45:34.923071,0 days 00:01:44.189047,0.8704994768704212,0.6276431401684364,0.0022219892160830167,0.0974070348656926,8,2,370,0.53383078277592,5.768699721897471e-08,0.547766572671558,COMPLETE
73,0.11354104332204126,2022-04-20 23:05:46.292031,2022-04-20 23:07:34.879956,0 days 00:01:48.587925,0.7439174098835323,0.6868152216781351,7.799699584369419e-05,0.08881068445522591,9,2,350,0.08105994127682448,1.3169915351556232e-07,0.6239915844077248,COMPLETE
45,0.1136124182379777,2022-04-20 22:14:54.448448,2022-04-20 22:16:42.578991,0 days 00:01:48.130543,0.7840349971197434,0.5982925013613106,0.006604381776765643,0.034506146352784615,8,3,450,0.1367164253726497,1.7660295755493748e-08,0.5988387782879895,COMPLETE
52,0.11366197079001453,2022-04-20 22:27:37.268746,2022-04-20 22:29:21.771581,0 days 00:01:44.502835,0.9339624382919829,0.6486439748027218,0.0004476877302070116,0.051293249432627225,7,2,410,0.1448500608864273,5.523591413208295e-08,0.6410325089381902,COMPLETE
49,0.1136817687319012,2022-04-20 22:22:17.919709,2022-04-20 22:24:04.618928,0 days 00:01:46.699219,0.7819013551342984,0.6203147508929047,8.364641854351606e-07,0.03240498318139652,8,3,440,0.10905079390505198,8.324780489112302e-08,0.693359681016138,COMPLETE
90,0.11378011602096881,2022-04-20 23:39:36.209724,2022-04-20 23:41:45.761544,0 days 00:02:09.551820,0.9216206442695545,0.609007299046561,0.002605412565297644,0.01929687260902416,10,1,500,0.0006321487919363452,0.007896877879470545,0.8442482358775492,COMPLETE
83,0.11380433261579649,2022-04-20 23:25:12.704847,2022-04-20 23:27:13.799887,0 days 00:02:01.095040,0.9261100988503015,0.5786237462453123,0.00032400318372958207,0.021607629630643218,10,3,460,0.0003080682631028226,4.1681679243172677e-05,0.7612564477310182,COMPLETE
70,0.11385204241912496,2022-04-20 23:00:21.705326,2022-04-20 23:02:12.867528,0 days 00:01:51.162202,0.8314180363308301,0.47285296370310415,9.596898287857607e-06,0.0715409179390842,9,1,400,0.005902228737626478,2.1747841653947078e-08,0.5429497649976773,COMPLETE
51,0.11404098771111124,2022-04-20 22:25:49.821622,2022-04-20 22:27:37.268625,0 days 00:01:47.447003,0.873180740803011,0.6622634488196097,0.0026468811142192077,0.0409262713942398,8,2,350,0.5304882727594464,4.01138116179488e-08,0.8663062012431741,COMPLETE
65,0.11438532536104858,2022-04-20 22:50:52.806976,2022-04-20 22:52:41.311741,0 days 00:01:48.504765,0.7592471272231801,0.6851853449293407,0.0015837722378659943,0.03240841816044539,8,1,380,0.9974900690757746,1.548660774293374e-07,0.6847317371417737,COMPLETE
