iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
91,0.15800701432669959,2022-04-15 05:19:10.730448,2022-04-15 05:22:26.560141,0 days 00:03:15.829693,10,500,2.4907830177372423e-06,0.0752229446205332,8,17,0.9392585971530153,COMPLETE
93,0.15804612363586976,2022-04-15 05:25:42.218826,2022-04-15 05:28:57.956652,0 days 00:03:15.737826,10,500,2.657211720842531e-06,0.08029390334738593,6,17,0.9194903554127247,COMPLETE
92,0.15813856293791664,2022-04-15 05:22:26.560284,2022-04-15 05:25:42.218688,0 days 00:03:15.658404,10,500,2.4854393444992374e-06,0.07444921496163094,7,17,0.9398541748622579,COMPLETE
75,0.15821906493879478,2022-04-15 04:28:21.505707,2022-04-15 04:31:35.188013,0 days 00:03:13.682306,10,450,2.899531332132733e-06,0.0706581558447239,11,19,0.940368693925067,COMPLETE
96,0.1582611720892623,2022-04-15 05:35:28.585035,2022-04-15 05:38:44.435919,0 days 00:03:15.850884,10,500,2.21427696892799e-06,0.09259906147941924,7,17,0.9402214981100414,COMPLETE
99,0.1583514530159149,2022-04-15 05:45:15.754905,2022-04-15 05:48:32.871005,0 days 00:03:17.116100,10,500,6.903420464073305e-07,0.07911941025643472,7,17,0.9429779181646082,COMPLETE
59,0.15860764466271104,2022-04-15 03:37:13.364689,2022-04-15 03:40:25.558312,0 days 00:03:12.193623,9,500,8.197119147298755e-06,0.0612208237936511,18,16,0.9645426033596514,COMPLETE
95,0.158635439866435,2022-04-15 05:32:13.181682,2022-04-15 05:35:28.584895,0 days 00:03:15.403213,10,480,2.4068584498007398e-06,0.09759931248276033,7,18,0.9362669351065895,COMPLETE
89,0.15866097418659447,2022-04-15 05:12:41.249050,2022-04-15 05:15:56.199026,0 days 00:03:14.949976,10,480,2.3005554214848218e-06,0.08191533085375481,7,16,0.9318595851793896,COMPLETE
63,0.15870952069166885,2022-04-15 03:50:05.026077,2022-04-15 03:53:19.449439,0 days 00:03:14.423362,10,480,4.0901958219691855e-06,0.06003993450755069,19,17,0.8712549766368777,COMPLETE
71,0.1587165032707055,2022-04-15 04:15:40.766903,2022-04-15 04:18:51.676635,0 days 00:03:10.909732,9,500,1.0544767520068385e-05,0.06954306420118209,19,13,0.9677597751694792,COMPLETE
10,0.1588418230503427,2022-04-15 01:05:52.330532,2022-04-15 01:08:58.921249,0 days 00:03:06.590717,7,470,2.7950643322590713e-06,0.09966143423169682,19,12,0.9566188108933038,COMPLETE
64,0.15891276141192978,2022-04-15 03:53:19.449570,2022-04-15 03:56:29.216770,0 days 00:03:09.767200,9,490,1.1466145598413478e-05,0.06512059756823167,20,14,0.881984319501768,COMPLETE
56,0.15915820064985328,2022-04-15 03:27:35.753965,2022-04-15 03:30:45.996568,0 days 00:03:10.242603,9,500,1.661136440569133e-06,0.05682399140086133,19,13,0.9641701845154259,COMPLETE
11,0.1593494513475765,2022-04-15 01:08:58.921363,2022-04-15 01:12:08.049556,0 days 00:03:09.128193,7,470,4.177409764298029e-06,0.08597381564327722,20,13,0.9614307102671387,COMPLETE
12,0.15937738997730078,2022-04-15 01:12:08.049675,2022-04-15 01:15:15.865163,0 days 00:03:07.815488,7,490,1.9100076541182877e-06,0.08063234649158094,20,14,0.9850471071238782,COMPLETE
72,0.15942176744808506,2022-04-15 04:18:51.676768,2022-04-15 04:22:02.436005,0 days 00:03:10.759237,9,470,1.9223117585193568e-05,0.06680768601345181,20,13,0.8921837074884444,COMPLETE
84,0.15947153262632094,2022-04-15 04:56:51.243466,2022-04-15 04:59:58.045982,0 days 00:03:06.802516,8,460,1.0163741974369951e-06,0.07158314175375198,20,15,0.9556845670252095,COMPLETE
97,0.1595804995252471,2022-04-15 05:38:44.436067,2022-04-15 05:42:00.502760,0 days 00:03:16.066693,10,500,1.1746308624734312e-06,0.09792674847302615,7,18,0.9379808164372889,COMPLETE
77,0.1601376139751054,2022-04-15 04:34:49.838266,2022-04-15 04:38:02.894228,0 days 00:03:13.055962,10,440,1.8441083323510047e-05,0.07305052821349681,11,19,0.9144784330371689,COMPLETE
55,0.16017304497071141,2022-04-15 03:24:29.059035,2022-04-15 03:27:35.753831,0 days 00:03:06.694796,7,500,1.578037321374999e-06,0.06848886450594743,19,13,0.9640354808747309,COMPLETE
61,0.1602900231348969,2022-04-15 03:43:36.551081,2022-04-15 03:46:50.623991,0 days 00:03:14.072910,10,480,1.5468507639696562e-06,0.03884580575213257,19,17,0.977791553340767,COMPLETE
86,0.160404274185969,2022-04-15 05:03:09.095804,2022-04-15 05:06:18.967757,0 days 00:03:09.871953,9,450,4.296639082875596e-05,0.049246605124104295,20,13,0.9744532134620205,COMPLETE
31,0.1604405567762055,2022-04-15 02:10:55.074039,2022-04-15 02:13:58.641876,0 days 00:03:03.567837,6,460,7.660535643601443e-07,0.09583439228527554,16,8,0.9251206536491025,COMPLETE
51,0.16060181563249543,2022-04-15 03:12:14.965814,2022-04-15 03:15:18.084508,0 days 00:03:03.118694,6,460,2.069186928923225e-06,0.09602242068130354,20,9,0.9055265434704018,COMPLETE
82,0.1607190003363023,2022-04-15 04:50:28.987678,2022-04-15 04:53:37.139847,0 days 00:03:08.152169,8,490,6.028803286031497e-06,0.05340289875397961,19,13,0.999310830418652,COMPLETE
22,0.16072629974168245,2022-04-15 01:43:27.880150,2022-04-15 01:46:31.243680,0 days 00:03:03.363530,6,460,7.774475620242036e-07,0.0938440081087069,16,8,0.9184276141347553,COMPLETE
43,0.1607378058382215,2022-04-15 02:47:54.515367,2022-04-15 02:50:57.992676,0 days 00:03:03.477309,6,460,2.2867170659907825e-06,0.09819360901317255,20,9,0.9008914378135279,COMPLETE
65,0.16085703821335073,2022-04-15 03:56:29.216895,2022-04-15 03:59:39.973991,0 days 00:03:10.757096,9,480,3.7662296806367596e-05,0.0485751684994404,20,15,0.8631840927976088,COMPLETE
98,0.1608695907673555,2022-04-15 05:42:00.502901,2022-04-15 05:45:15.754737,0 days 00:03:15.251836,10,480,2.4175439263988496e-06,0.03651348861728576,7,19,0.9229939341232816,COMPLETE
50,0.16094419352257602,2022-04-15 03:09:11.649154,2022-04-15 03:12:14.965649,0 days 00:03:03.316495,8,260,0.029555533479617885,0.09926159444400463,20,15,0.8961514406872831,COMPLETE
85,0.16135058715414968,2022-04-15 04:59:58.046133,2022-04-15 05:03:09.095664,0 days 00:03:11.049531,9,490,5.037485832700102e-07,0.04217087848355091,19,12,0.8795144113649984,COMPLETE
41,0.1614185056962501,2022-04-15 02:41:41.637360,2022-04-15 02:44:45.875494,0 days 00:03:04.238134,6,460,1.124483341714794e-06,0.08093301603058166,16,7,0.9275772566254873,COMPLETE
42,0.16147318205755185,2022-04-15 02:44:45.875614,2022-04-15 02:47:54.515248,0 days 00:03:08.639634,7,490,1.349094953395742e-07,0.05884733312995824,14,8,0.9545510275516808,COMPLETE
69,0.16154154167032325,2022-04-15 04:09:16.771273,2022-04-15 04:12:32.042196,0 days 00:03:15.270923,10,490,0.0002556717289923372,0.06484285273670015,18,15,0.8062667309466534,COMPLETE
70,0.16166600826227562,2022-04-15 04:12:32.042332,2022-04-15 04:15:40.766766,0 days 00:03:08.724434,8,500,6.201798674974753e-05,0.04441204798455741,17,12,0.9399239609103784,COMPLETE
62,0.16172307674482891,2022-04-15 03:46:50.624126,2022-04-15 03:50:05.025946,0 days 00:03:14.401820,10,480,1.5882068468941063e-06,0.032257556755368864,19,17,0.9725062888625482,COMPLETE
83,0.16216182781298252,2022-04-15 04:53:37.139981,2022-04-15 04:56:51.243333,0 days 00:03:14.103352,10,470,4.266352928532895e-06,0.03291054454230567,10,16,0.9058966355178687,COMPLETE
19,0.16236647338538737,2022-04-15 01:34:07.740644,2022-04-15 01:37:15.063350,0 days 00:03:07.322706,7,470,8.118642746622863e-06,0.09037039062575013,9,16,0.6850764356134118,COMPLETE
74,0.1625005156143826,2022-04-15 04:25:14.053281,2022-04-15 04:28:21.505577,0 days 00:03:07.452296,8,470,5.707563057970666e-06,0.046705204145915356,20,12,0.8333064104727869,COMPLETE
32,0.16251253862750534,2022-04-15 02:13:58.641987,2022-04-15 02:17:01.377536,0 days 00:03:02.735549,5,500,4.5228777842160956e-07,0.09476144526295656,19,8,0.8703440456653989,COMPLETE
15,0.16276287281859356,2022-04-15 01:21:36.356051,2022-04-15 01:24:42.193448,0 days 00:03:05.837397,6,410,0.0013709077311100687,0.08099660545527385,17,10,0.8466675027428212,COMPLETE
53,0.1628421583656284,2022-04-15 03:18:20.370940,2022-04-15 03:21:23.902876,0 days 00:03:03.531936,7,400,2.0632328401577333e-07,0.06017297686770748,18,9,0.9263144006845667,COMPLETE
34,0.16455082293845122,2022-04-15 02:20:06.526980,2022-04-15 02:23:11.340762,0 days 00:03:04.813782,6,480,0.00010293351598351221,0.055684462658885464,18,11,0.8344745024297107,COMPLETE
25,0.16471246049249072,2022-04-15 01:52:38.099929,2022-04-15 01:55:44.090512,0 days 00:03:05.990583,9,380,2.117038557523811e-06,0.03763353427546329,19,15,0.8627816841434864,COMPLETE
21,0.1648192188791009,2022-04-15 01:40:20.631838,2022-04-15 01:43:27.880012,0 days 00:03:07.248174,7,500,4.040713820410962e-06,0.03774914734568686,20,14,0.999897657712225,COMPLETE
37,0.16561491543914753,2022-04-15 02:29:23.551218,2022-04-15 02:32:31.067573,0 days 00:03:07.516355,8,390,5.790980586138815e-08,0.04595573468688684,14,13,0.7555745925517205,COMPLETE
78,0.16621295197191777,2022-04-15 04:38:02.894369,2022-04-15 04:41:14.341375,0 days 00:03:11.447006,9,480,3.839173242356174e-06,0.024549483069287396,12,17,0.9443187861646564,COMPLETE
45,0.16636730165761776,2022-04-15 02:53:56.740951,2022-04-15 02:57:00.179421,0 days 00:03:03.438470,7,450,4.707705893805372e-07,0.04090250852422783,13,11,0.8075899131199807,COMPLETE
28,0.16649560271326685,2022-04-15 02:01:50.481402,2022-04-15 02:04:52.956636,0 days 00:03:02.475234,7,300,2.4493449457993736e-05,0.054712044002388535,20,13,0.9329135670842419,COMPLETE
73,0.1677834474619925,2022-04-15 04:22:02.436165,2022-04-15 04:25:14.053141,0 days 00:03:11.616976,9,490,1.0302831791803706e-05,0.021216071358581584,19,14,0.9933250923036289,COMPLETE
