iteration,logloss,datetime_start,datetime_complete,duration,depth,n_estimators,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,state
74,0.164612595863038,2022-05-13 07:41:26.774389,2022-05-13 07:43:02.272280,0 days 00:01:35.497891,10,290,5.371701236440435e-06,0.04235465324920409,16,18,0.9436210854471474,COMPLETE
75,0.16501793015551983,2022-05-13 07:43:02.272400,2022-05-13 07:44:35.106193,0 days 00:01:32.833793,10,240,1.0707552940875508e-05,0.06328667300101502,14,17,0.9968053795869731,COMPLETE
73,0.1651585806319382,2022-05-13 07:39:53.000462,2022-05-13 07:41:26.774273,0 days 00:01:33.773811,10,240,1.4381115042520786e-05,0.048492847086217275,15,17,0.9735129940110827,COMPLETE
64,0.16515864607097128,2022-05-13 07:25:48.517277,2022-05-13 07:27:22.939869,0 days 00:01:34.422592,9,370,5.903333080367878e-05,0.03738636134167432,6,13,0.9054025610400618,COMPLETE
72,0.16558793014526488,2022-05-13 07:38:18.410074,2022-05-13 07:39:53.000345,0 days 00:01:34.590271,10,280,5.205938217762473e-06,0.09988177777130157,15,20,0.9388838218398239,COMPLETE
56,0.16610978149282019,2022-05-13 07:13:10.515902,2022-05-13 07:14:46.557337,0 days 00:01:36.041435,10,360,4.4002441544210465e-05,0.0349612704965373,6,12,0.7597936668529303,COMPLETE
43,0.1662643315037728,2022-05-13 06:53:13.857392,2022-05-13 06:54:43.977040,0 days 00:01:30.119648,9,160,6.467027029724849e-07,0.07900037613551684,4,16,0.9729823245144755,COMPLETE
41,0.16652882727644955,2022-05-13 06:50:09.251919,2022-05-13 06:51:41.133908,0 days 00:01:31.881989,10,200,9.283721208502188e-07,0.053161425500489655,7,15,0.9573161719921943,COMPLETE
31,0.16707185559620621,2022-05-13 06:34:44.026877,2022-05-13 06:36:17.055649,0 days 00:01:33.028772,10,200,8.879399140338149e-07,0.050946638370383976,7,15,0.9740279355780871,COMPLETE
92,0.16738951201792346,2022-05-13 08:09:51.289500,2022-05-13 08:11:27.143373,0 days 00:01:35.853873,10,330,3.4691464608082494e-06,0.030516057764165713,14,18,0.8698638047888096,COMPLETE
79,0.16787116962051396,2022-05-13 07:49:19.013899,2022-05-13 07:50:52.807825,0 days 00:01:33.793926,10,220,7.106402694583009e-06,0.04452008433293281,15,18,0.9489975096366894,COMPLETE
89,0.16806173262291652,2022-05-13 08:05:07.836499,2022-05-13 08:06:42.625313,0 days 00:01:34.788814,10,300,2.285779729213024e-05,0.07866340726618762,15,15,0.5510697485250529,COMPLETE
25,0.1682273645917725,2022-05-13 06:25:34.251776,2022-05-13 06:27:06.832080,0 days 00:01:32.580304,10,190,1.2232801328330109e-06,0.04849396137369632,7,15,0.9472879438388981,COMPLETE
66,0.16923768124295607,2022-05-13 07:28:51.950921,2022-05-13 07:30:25.405328,0 days 00:01:33.454407,9,310,2.182916370864221e-05,0.037100575722966024,10,12,0.729316669919285,COMPLETE
22,0.16943883680272992,2022-05-13 06:20:56.781225,2022-05-13 06:22:29.600587,0 days 00:01:32.819362,9,250,7.545679245639415e-06,0.0974967479706346,12,13,0.8598905915284355,COMPLETE
93,0.16956608614259672,2022-05-13 08:11:27.143502,2022-05-13 08:13:01.950449,0 days 00:01:34.806947,10,280,7.336099907433124e-06,0.057280684494628524,13,16,0.9286967529328943,COMPLETE
42,0.1703628314420305,2022-05-13 06:51:41.134027,2022-05-13 06:53:13.857287,0 days 00:01:32.723260,10,230,2.4906689786422095e-07,0.035139710054841934,11,14,0.8961693204862738,COMPLETE
